Parameter,Type,Min,Max,Default,Description,Example
Actual_IndividualIntervention_Config,JSON object,NA,NA,NA,The configuration of an actual individual intervention sought. Selects a class for the intervention and configures the parameters specific for that intervention class.,[link](../json/campaign-nodelevelhealthtriggerediv_Actual_IndividualIntervention_Config.json)
Actual_NodeIntervention_Config,JSON object,NA,NA,NA,The configuration of the actual node-level intervention sought. This parameter selects a class for the intervention and configures the parameters specific for that intervention class.,[link](../json/campaign-nodelevelhealthtriggerediv_Actual_NodeIntervention_Config.json)
Blackout_Event_Trigger,enum,NA,NA,"""""",The event to broadcast if an intervention cannot be distributed due to the **Blackout_Period**. See [Event list](../md_parameter/parameter-campaign-event-list.md) for possible values.,[link](../json/campaign-nodelevelhealthtriggerediv_Blackout_Event_Trigger.json)
Blackout_On_First_Occurrence,boolean,0,1,0,"If set to true (1), individuals will enter the blackout period after the first occurrence of an event in the **Trigger_Condition_List**.",[link](../json/campaign-nodelevelhealthtriggerediv_Blackout_On_First_Occurrence.json)
Blackout_Period,float,0,3.40282e+38,0,"After the initial intervention distribution, the time, in days, to wait before distributing the intervention again. If it cannot distribute due to the blackout period, it will broadcast the user-defined **Blackout_Event_Trigger**.",[link](../json/campaign-nodelevelhealthtriggerediv_Blackout_Period.json)
Demographic_Coverage,float,0,1,1,The fraction of individuals in the target demographic that will receive this intervention.,[link](../json/campaign-nodelevelhealthtriggerediv_Demographic_Coverage.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-nodelevelhealthtriggerediv_Disqualifying_Properties.json)
Distribute_On_Return_Home,boolean,0,1,0,"When set to true (1), individuals will receive an intervention upon returning home if that intervention was originally distributed while the individual was away.",[link](../json/campaign-nodelevelhealthtriggerediv_Distribute_On_Return_Home.json)
Duration,float,-1,3.40282e+38,-1,"The number of days to continue this intervention. 
.. Note::
  For **BirthTriggeredIV**, specifying a value of -1 results in indefinite persistence of the birth-triggered intervention.",[link](../json/campaign-nodelevelhealthtriggerediv_Duration.json)
Intervention_Name,string,NA,NA,NA,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-nodelevelhealthtriggerediv_Intervention_Name.json)
New_Property_Value,string,NA,NA,NA,"An optional **NodeProperty** key:value pair that will be assigned when the intervention is distributed. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-nodelevelhealthtriggerediv_New_Property_Value.json)
Node_Property_Restrictions,array of JSON objects,NA,NA,NA,"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.
You can specify AND and OR combinations of key:value pairs with this parameter.",[link](../json/campaign-nodelevelhealthtriggerediv_Node_Property_Restrictions.json)
Property_Restrictions_Within_Node,array of JSON objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.
This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. ",[link](../json/campaign-nodelevelhealthtriggerediv_Property_Restrictions_Within_Node.json)
Target_Age_Max,float,0,3.40282e+38,3.40282e+38,"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",[link](../json/campaign-nodelevelhealthtriggerediv_Target_Age_Max.json)
Target_Demographic,enum,NA,NA,Everyone,"The target demographic group. Possible values are:
* Everyone
* ExplicitAgeRanges
* ExplicitAgeRangesAndGender
* ExplicitGender
* ExplicitDiseaseState",[link](../json/campaign-nodelevelhealthtriggerediv_Target_Demographic.json)
Target_Gender,enum,NA,NA,All,"Specifies the gender restriction for the intervention. Possible values are:
* Male
* Female
* All",[link](../json/campaign-nodelevelhealthtriggerediv_Target_Gender.json)
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).",[link](../json/campaign-nodelevelhealthtriggerediv_Target_Residents_Only.json)
Trigger_Condition_List,array of strings,NA,NA,NA,An array of events that will trigger an intervention. The events contained in the list can be built-in events (see [Event list](../md_parameter/parameter-campaign-event-list.md) for possible events) or the custom events defined in **Listed_Events** in the simulation configuration file. ,[link](../json/campaign-nodelevelhealthtriggerediv_Trigger_Condition_List.json)
